"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","11:07:28","N/A"
"System","4","Services","0","1,116 K","Unknown","N/A","0:01:02","N/A"
"Registry","92","Services","0","97,996 K","Unknown","N/A","0:00:00","N/A"
"smss.exe","364","Services","0","1,092 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","456","Services","0","5,408 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","540","Console","1","4,408 K","Unknown","N/A","0:00:00","N/A"
"wininit.exe","560","Services","0","6,684 K","Unknown","N/A","0:00:00","N/A"
"winlogon.exe","604","Console","1","10,412 K","Unknown","N/A","0:00:00","N/A"
"services.exe","676","Services","0","12,004 K","Unknown","N/A","0:00:05","N/A"
"lsass.exe","696","Services","0","23,324 K","Unknown","N/A","0:00:08","N/A"
"svchost.exe","816","Services","0","29,580 K","Unknown","N/A","0:00:05","N/A"
"fontdrvhost.exe","836","Console","1","3,236 K","Unknown","N/A","0:00:00","N/A"
"fontdrvhost.exe","844","Services","0","3,392 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","924","Services","0","15,464 K","Unknown","N/A","0:00:19","N/A"
"svchost.exe","976","Services","0","9,144 K","Unknown","N/A","0:00:01","N/A"
"LogonUI.exe","392","Console","1","54,348 K","Unknown","N/A","0:00:01","N/A"
"dwm.exe","400","Console","1","46,992 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","544","Services","0","129,548 K","Unknown","N/A","0:02:39","N/A"
"svchost.exe","8","Services","0","4,992 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","480","Services","0","6,232 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1032","Services","0","7,216 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1108","Services","0","7,140 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1132","Services","0","8,708 K","Unknown","N/A","0:00:03","N/A"
"svchost.exe","1140","Services","0","16,576 K","Unknown","N/A","0:00:21","N/A"
"svchost.exe","1264","Services","0","11,276 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1284","Services","0","22,772 K","Unknown","N/A","0:00:02","N/A"
"svchost.exe","1384","Services","0","18,620 K","Unknown","N/A","0:00:40","N/A"
"svchost.exe","1404","Services","0","7,056 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1464","Services","0","11,904 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1588","Services","0","8,864 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","1612","Services","0","10,164 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1652","Services","0","7,552 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1664","Services","0","5,736 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1672","Services","0","86,760 K","Unknown","N/A","0:01:41","N/A"
"svchost.exe","1684","Services","0","13,560 K","Unknown","N/A","0:00:00","N/A"
"WUDFHost.exe","1696","Services","0","7,996 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1828","Services","0","8,952 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1848","Services","0","15,832 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","1920","Services","0","6,728 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1928","Services","0","7,808 K","Unknown","N/A","0:00:00","N/A"
"Memory Compression","1088","Services","0","482,816 K","Unknown","N/A","0:00:22","N/A"
"svchost.exe","2060","Services","0","13,232 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2160","Services","0","5,824 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2444","Services","0","6,052 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2452","Services","0","8,880 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2496","Services","0","6,788 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2544","Services","0","9,760 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2568","Services","0","12,160 K","Unknown","N/A","0:00:00","N/A"
"spoolsv.exe","2896","Services","0","17,136 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2944","Services","0","6,852 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2980","Services","0","10,056 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3064","Services","0","9,164 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2272","Services","0","34,272 K","Unknown","N/A","0:00:05","N/A"
